,Actual,Predicted,Error,TA,SW_IN,VPD_PI,P,hour,Error_Percentage
1970-01-01 00:00:00.000136538,-67.84,1.477554615815075,69.31755461581508,16.101,1,0.0,0.0,0,102.17799913887835
1970-01-01 00:00:00.000140958,-85.5,-16.556555779412335,68.94344422058766,24.1,475,0.034,0.0,0,80.63560727554113
1970-01-01 00:00:00.000135896,-67.386,0.6605693889900116,68.04656938899001,9.4,0,0.0,0.0,0,100.98027689577955
1970-01-01 00:00:00.000122985,-67.75,0.22691837584526667,67.97691837584527,11.8,0,0.0,0.0,0,100.33493487209635
1970-01-01 00:00:00.000143316,-64.272,2.507739274232984,66.779739274233,22.6,92,0.0,0.0,0,103.90176013541354
1970-01-01 00:00:00.000127438,-67.159,-0.5393211154790604,66.61967888452095,23.2,148,0.143,0.0,0,99.19694885945435
1970-01-01 00:00:00.000121881,-65.636,0.43950450852134726,66.07550450852135,5.4,-2,0.235,0.0,0,100.66960891663317
1970-01-01 00:00:00.000147113,53.182,-12.873620438761717,66.05562043876172,-2.6,265,0.0,0.0,0,124.206724904595
1970-01-01 00:00:00.000139897,10.864,-54.82352072598836,65.68752072598836,22.9,862,0.76,0.0,0,604.6347636780961
1970-01-01 00:00:00.000137682,-65.295,0.18941476114530312,65.4844147611453,16.101,207,0.377,0.0,0,100.29009075908616
1970-01-01 00:00:00.000130674,-64.318,1.0531789096610318,65.37117890966103,7.2,38,0.0,0.0,0,101.63745593715761
1970-01-01 00:00:00.000121902,-65.136,0.08513655357504495,65.22113655357504,9.4,0,0.0,0.0,0,100.13070583636552
1970-01-01 00:00:00.000123221,-63.818,0.9963937694926864,64.81439376949268,18.5,-1,0.603,0.0,0,101.56130522657038
1970-01-01 00:00:00.000122971,-63.795,0.7842188312986735,64.57921883129868,10.9,-1,0.473,0.0,0,101.22927945967344
1970-01-01 00:00:00.000147102,-64.113,0.45128071550522825,64.56428071550523,9.9,92,0.0,0.0,0,100.703883323983
1970-01-01 00:00:00.000124553,-64.045,-0.4832904411632827,63.56170955883672,6.6,114,0.003,0.0,0,99.24538927135094
1970-01-01 00:00:00.000131933,-62.227,0.9592160572943331,63.18621605729433,-9.8,-2,0.002,0.0,0,101.54147887138112
1970-01-01 00:00:00.000139898,12.319,-50.73068787749055,63.049687877490555,23.4,749,0.798,0.0,0,511.8084899544651
1970-01-01 00:00:00.000137297,-64.09,-1.0555618924053927,63.03443810759461,12.6,36,0.0,0.0,0,98.35300063597224
1970-01-01 00:00:00.000120144,-62.5,0.2321592749022126,62.732159274902216,1.1,0,0.0,0.0,0,100.37145483984355
1970-01-01 00:00:00.000126165,49.75,-12.40807957936891,62.15807957936891,24.0,277,0.099,0.0,0,124.94086347611841
1970-01-01 00:00:00.000122722,-60.772,1.2717131470898622,62.04371314708986,13.6,0,0.051,0.0,0,102.09259716166963
1970-01-01 00:00:00.000137332,-62.59,-0.9780218536691755,61.61197814633083,16.8,184,0.116,0.0,0,98.43741515630424
1970-01-01 00:00:00.000130672,-60.09,1.069602506111413,61.15960250611142,6.4,13,0.0,0.0,0,101.78000084225565
1970-01-01 00:00:00.000147151,-59.954,1.1091648815064088,61.06316488150641,11.1,0,0.0,0.0,0,101.85002648948596
1970-01-01 00:00:00.000144537,-59.727,1.333704660460591,61.06070466046059,8.4,0,0.026,0.0,0,102.23300125648464
